epoch,iter,val_loss,eval/acc
0,0,0.993534368276596,0.0
0,77,0.272670379281044,26.45
0,154,0.24163876101374626,30.32
0,231,0.23356968499720096,34.52
0,308,0.22319051064550877,39.03
0,385,0.2133615206927061,45.16
0,462,0.21700447835028172,45.16
0,539,0.20493213683366776,52.26
0,616,0.2039088498800993,52.26
0,693,0.2039828419685364,54.52
0,770,0.19963152781128884,54.84
1,775,0.20278808549046518,51.94
1,852,0.2036117162555456,54.19
1,929,0.2000581819564104,54.84
1,1006,0.20656141340732576,57.74
1,1083,0.20139772817492485,57.1
1,1160,0.20046698898077012,58.06
1,1237,0.2020588621497154,58.71
1,1314,0.19718753397464753,58.06
1,1391,0.20130785405635834,59.03
1,1468,0.20034162811934947,58.71
1,1545,0.19683393351733686,59.68
2,1550,0.19614644758403302,60.32
2,1627,0.198888798430562,59.68
2,1704,0.20493126474320889,54.19
2,1781,0.20771756768226624,57.42
2,1858,0.2079369504004717,60.0
2,1935,0.20501504205167292,58.71
2,2012,0.21145657300949097,59.35
2,2089,0.20861596055328846,61.61
2,2166,0.20841281227767466,61.61
2,2243,0.20704440586268902,61.94
2,2320,0.2103337049484253,61.94
3,2325,0.21163108386099339,60.97
3,2402,0.21117413826286793,61.29
3,2479,0.2128207702189684,54.84
3,2556,0.21942463777959348,56.77
3,2633,0.22334737330675125,58.71
3,2710,0.22185286544263363,58.06
3,2787,0.23265934698283672,59.68
3,2864,0.22959448248147965,58.39
3,2941,0.22246921956539153,60.97
3,3018,0.22057379074394703,59.03
3,3095,0.21953729093074797,59.03
