epoch,iter,val_loss,eval/acc
0,0,0.8774927931447183,0.0
0,2425,0.1485230318240581,70.1
0,4850,0.15181425622394007,62.06
0,7275,0.13759579653701476,77.94
0,9700,0.13567472129098831,83.3
0,12125,0.13767178452784015,75.88
0,14550,0.12952899380076316,89.48
0,16975,0.12840972396154557,89.48
0,19400,0.1331671922197265,81.65
0,21825,0.12806911309880595,91.34
1,24250,0.12729317490612307,90.72
1,26675,0.12556648891299002,93.61
1,29100,0.12784636681599001,90.31
1,31525,0.12651985943798097,91.96
1,33950,0.12686929359070717,93.2
1,36375,0.12451830974990322,95.67
1,38800,0.1256240015068362,92.37
1,41225,0.12680791991372262,92.99
1,43650,0.1264233092867559,92.58
1,46075,0.125930507817576,95.05
2,48500,0.12645449513389218,93.4
2,50925,0.12641519151868358,94.02
2,53350,0.12760729018238284,92.78
2,55775,0.12686928493842,94.23
2,58200,0.12899691299084695,96.7
2,60625,0.12718699620135368,97.73
2,63050,0.12855743232273287,95.46
2,65475,0.13112541840922448,94.64
2,67900,0.1269884665887202,96.29
2,70325,0.13105752222960995,95.46
3,72750,0.1277727938948139,97.53
3,75175,0.1320115075476708,95.67
3,77600,0.1329239648917029,97.11
3,80025,0.1360004235419535,96.7
3,82450,0.13958243569058756,96.29
3,84875,0.1363589174805149,98.56
3,87300,0.13586274570515078,96.29
3,89725,0.1380511255514237,96.29
3,92150,0.13397572550081438,96.49
3,94575,0.13617970926627035,96.7
