epoch,iter,val_loss,eval/acc
0,0,0.9043536916855843,0.0
0,2425,0.1558584407452614,61.03
0,4850,0.15062544098304165,68.25
0,7275,0.14501072298134526,75.26
0,9700,0.14392898736461515,76.49
0,12125,0.13901136947735662,81.44
0,14550,0.13473112376466875,82.47
0,16975,0.13537287688063038,86.8
0,19400,0.13389083298463975,85.36
0,21825,0.13272518508376613,88.87
1,24250,0.12910579541517841,90.52
1,26675,0.13130386642390682,91.55
1,29100,0.13531954862898396,86.6
1,31525,0.13030568894840056,92.58
1,33950,0.13213048598939373,89.28
1,36375,0.12892720331588098,93.2
1,38800,0.12899559640115307,93.81
1,41225,0.13005256532661377,92.99
1,43650,0.1282380717175622,93.4
1,46075,0.12980935398128726,92.16
2,48500,0.1291455177049483,91.96
2,50925,0.13057502695629675,92.78
2,53350,0.13009559867843504,94.64
2,55775,0.13168899799066205,93.81
2,58200,0.13271304256012362,94.23
2,60625,0.13159251104920142,96.29
2,63050,0.1319446824491024,92.78
2,65475,0.13407091808415228,92.99
2,67900,0.13228564649339644,93.81
2,70325,0.13317846014134346,95.88
3,72750,0.13086046038135404,95.67
3,75175,0.13434383080851647,95.67
3,77600,0.13464302137013404,95.46
3,80025,0.1371170579185409,93.81
3,82450,0.13803006936946222,94.43
3,84875,0.14006247539674083,95.26
3,87300,0.14095322487335052,96.29
3,89725,0.14178988938370057,94.02
3,92150,0.13883533605164097,95.46
3,94575,0.1379930280870007,95.67
