epoch,iter,val_loss,eval/acc
0,0,0.6853270977735519,0.0
0,155,0.15012289434671403,14.84
0,310,0.13782846480607985,24.52
0,465,0.1296615120023489,30.0
0,620,0.1272903300821781,34.84
0,775,0.1240413747727871,39.35
0,930,0.11797772571444512,46.13
0,1085,0.12043684348464012,39.03
0,1240,0.11545910611748696,52.9
0,1395,0.11630236841738224,47.74
1,1550,0.11419548131525517,49.68
1,1705,0.11239370703697205,56.13
1,1860,0.11477435231208802,55.16
1,2015,0.11620887257158756,52.26
1,2170,0.11641807295382023,48.06
1,2325,0.11306560523808003,48.71
1,2480,0.11271705590188504,54.84
1,2635,0.11262344513088465,58.39
1,2790,0.113299460709095,59.68
1,2945,0.11192391999065876,59.68
2,3100,0.11613415628671646,57.42
2,3255,0.1155699621886015,55.81
2,3410,0.12031281515955924,59.03
2,3565,0.11858536936342716,55.16
2,3720,0.12228330969810486,60.32
2,3875,0.12126282006502151,55.48
2,4030,0.12233823612332344,55.48
2,4185,0.1276349976658821,60.0
2,4340,0.11961630508303642,58.06
2,4495,0.12221461012959481,62.58
3,4650,0.12223678641021252,63.87
3,4805,0.1272898271679878,59.03
3,4960,0.13772212862968444,61.94
3,5115,0.1341843456029892,60.32
3,5270,0.14059590362012386,59.68
3,5425,0.13775449991226196,62.58
3,5580,0.1378676738590002,65.16
3,5735,0.1363687589764595,65.48
3,5890,0.13608529940247535,66.13
3,6045,0.134970523416996,66.45
