epoch,iter,val_loss,eval/acc
0,0,0.6364231422543526,0.0
0,1550,0.1049294475466013,53.55
0,3100,0.10456819571554661,65.16
0,4650,0.0991161959245801,70.32
0,6200,0.09347732234746217,77.1
0,7750,0.09321646820753812,77.42
0,9300,0.08966987486928701,85.48
0,10850,0.08948770705610513,82.58
0,12400,0.08725336026400328,83.55
0,13950,0.08581691440194845,83.87
1,15500,0.08771191798150539,87.1
1,17050,0.08480158392339945,90.32
1,18600,0.08488166723400355,93.23
1,20150,0.08686396684497595,93.55
1,21700,0.0851893037557602,90.97
1,23250,0.0877898771315813,90.65
1,24800,0.08593052513897419,89.35
1,26350,0.08450508750975132,90.0
1,27900,0.08532543405890465,92.58
1,29450,0.08518234938383103,91.94
2,31000,0.08408379722386598,95.48
2,32550,0.08325176369398832,96.45
2,34100,0.08474964108318091,95.16
2,35650,0.08801882658153773,93.23
2,37200,0.08590705059468746,94.52
2,38750,0.08539530839771033,97.74
2,40300,0.08515137899667025,96.13
2,41850,0.0880104225128889,93.87
2,43400,0.08707522489130497,95.81
2,44950,0.08475426863878965,97.74
3,46500,0.08722192589193582,95.48
3,48050,0.08911898545920849,95.81
3,49600,0.0901109054684639,96.77
3,51150,0.09320763181895017,96.45
3,52700,0.0933000173419714,94.52
3,54250,0.0923554753884673,97.74
3,55800,0.09271620586514473,95.81
3,57350,0.09167563393712044,96.13
3,58900,0.0916012991219759,97.42
3,60450,0.08896257039159536,97.74
