epoch,iter,val_loss,eval/acc
0,0,0.870820003171121,0.0
0,1212,0.17267972375116042,44.95
0,2424,0.1599112813991885,54.23
0,3636,0.15467572212219238,62.47
0,4848,0.1524675216886305,66.8
0,6060,0.14963539269181989,68.87
0,7272,0.14700989040636248,73.81
0,8484,0.14598585472952935,77.11
0,9696,0.14471772265049718,76.29
0,10908,0.1438374623896614,78.35
0,12120,0.1400441623503162,81.03
1,12125,0.1399926962631364,81.24
1,13337,0.1432264431590034,78.97
1,14549,0.14248752149362717,78.76
1,15761,0.139437367478686,82.89
1,16973,0.1378153265724259,81.44
1,18185,0.138426061719656,83.71
1,19397,0.13742796980565594,83.09
1,20609,0.1373388335829781,84.54
1,21821,0.13911951693796343,83.09
1,23033,0.13858623309962212,82.89
1,24245,0.1368233282719889,88.66
2,24250,0.1365069224228782,88.45
2,25462,0.1382744665588102,89.28
2,26674,0.14126182972423493,82.89
2,27886,0.13880914077162743,85.36
2,29098,0.13850728362318007,86.19
2,30310,0.13951735667163326,88.04
2,31522,0.14169626562826096,86.19
2,32734,0.14019000217799218,86.6
2,33946,0.1402598291395172,85.77
2,35158,0.1407232421540445,86.19
2,36370,0.13971910145013564,90.1
3,36375,0.13937462601930864,90.1
3,37587,0.14409359616618003,88.25
3,38799,0.1474409113007207,88.04
3,40011,0.14544842740701092,88.25
3,41223,0.1436147511966767,87.01
3,42435,0.14409696911611863,88.87
3,43647,0.14652321776074748,85.77
3,44859,0.14652388134310323,88.25
3,46071,0.14663905890718584,86.39
3,47283,0.1461611604017596,88.04
3,48495,0.14615229637392105,89.28
