epoch,iter,val_loss,eval/acc
0,0,0.6962491720914841,0.0
0,775,0.12474557906389236,33.55
0,1550,0.11644655093550682,48.06
0,2325,0.11319768317043781,53.55
0,3100,0.1112120732665062,58.39
0,3875,0.106954750046134,63.87
0,4650,0.10312807578593493,67.1
0,5425,0.1031364979222417,71.94
0,6200,0.10260199960321188,71.29
0,6975,0.10400571264326572,71.29
1,7750,0.10220141690224409,70.97
1,8525,0.10156480539590121,72.58
1,9300,0.10067780166864396,76.45
1,10075,0.10014620777219534,75.16
1,10850,0.10162341613322497,79.35
1,11625,0.10016538221389056,77.74
1,12400,0.09860545713454485,81.29
1,13175,0.09768032394349575,83.23
1,13950,0.09794300999492407,78.39
1,14725,0.09883324820548296,80.97
2,15500,0.10081277079880238,80.65
2,16275,0.1015238668769598,82.58
2,17050,0.09866597298532724,82.26
2,17825,0.10255838241428136,84.52
2,18600,0.10008675679564476,82.9
2,19375,0.10104834977537394,82.9
2,20150,0.10305513441562653,81.94
2,20925,0.10299288146197796,83.87
2,21700,0.101288927718997,82.26
2,22475,0.1028342179954052,84.19
3,23250,0.10656592044979334,82.26
3,24025,0.10587068330496549,82.9
3,24800,0.10457376949489117,83.55
3,25575,0.1044413698837161,83.87
3,26350,0.10725968983024359,82.9
3,27125,0.10694549866020679,81.61
3,27900,0.1099011518061161,82.9
3,28675,0.11082810275256634,81.94
3,29450,0.10951105207204818,83.23
3,30225,0.10842133909463883,84.19
