epoch,iter,val_loss,eval/acc
0,0,0.890864186709927,0.0
0,2425,0.1604118856691545,57.11
0,4850,0.14916800347066694,68.45
0,7275,0.1450305874309232,74.23
0,9700,0.14071925741530233,77.32
0,12125,0.13863679886825622,77.32
0,14550,0.1365956505460124,84.54
0,16975,0.13684411431031843,84.54
0,19400,0.13509393255076102,87.42
0,21825,0.13387294293892,86.19
1,24250,0.13241701176570309,90.72
1,26675,0.1316972379722903,89.28
1,29100,0.13069998028297578,90.52
1,31525,0.12988442446916335,91.13
1,33950,0.1327044411051658,89.07
1,36375,0.13031007601849495,90.1
1,38800,0.13011718661554397,89.9
1,41225,0.1308927329317216,91.75
1,43650,0.13155264683788823,92.16
1,46075,0.13199246073922805,91.13
2,48500,0.13026310575585212,92.78
2,50925,0.13041726199369277,91.96
2,53350,0.128630519273781,94.02
2,55775,0.12898848265890153,94.64
2,58200,0.13128302174229775,93.81
2,60625,0.1307010662651831,93.81
2,63050,0.12999944364832294,93.4
2,65475,0.1314880606387892,93.81
2,67900,0.13340626152292376,95.46
2,70325,0.133831349952567,94.02
3,72750,0.13277052174652776,94.64
3,75175,0.13379924143514327,94.43
3,77600,0.13557768901509623,95.05
3,80025,0.13677711304157011,94.43
3,82450,0.13770772709000495,94.02
3,84875,0.13839458926550804,95.05
3,87300,0.13569042014498864,94.64
3,89725,0.1380444470672838,94.43
3,92150,0.1404142642934476,95.67
3,94575,0.1377672044740569,94.64
