epoch,iter,val_loss,eval/acc
0,0,0.9953818559646607,0.0
0,155,0.2379958413541317,31.94
0,310,0.2246544912457466,37.42
0,465,0.21719409935176373,38.39
0,620,0.2086528792977333,43.87
0,775,0.20645861998200415,45.48
0,930,0.19769190885126592,50.32
0,1085,0.19845421612262726,53.55
0,1240,0.1941864024847746,59.03
0,1395,0.19137609377503395,60.97
1,1550,0.18913254365324975,58.06
1,1705,0.18497759960591792,65.81
1,1860,0.19170832112431527,63.55
1,2015,0.19391370117664336,63.87
1,2170,0.19534113816916943,64.52
1,2325,0.19100796803832054,66.13
1,2480,0.19351060539484025,59.35
1,2635,0.19426021799445153,63.87
1,2790,0.1897049266844988,63.55
1,2945,0.19035303145647048,66.45
2,3100,0.18829188719391823,68.06
2,3255,0.19092265367507935,68.71
2,3410,0.20988502763211728,66.77
2,3565,0.20420516692101956,68.39
2,3720,0.20812581293284893,65.16
2,3875,0.2068585827946663,66.77
2,4030,0.20707844533026218,59.68
2,4185,0.20852213650941848,70.0
2,4340,0.20986436679959297,67.74
2,4495,0.2094683486968279,61.94
3,4650,0.20620809495449066,68.06
3,4805,0.20870207324624063,70.0
3,4960,0.2332103431224823,69.68
3,5115,0.24141767323017121,68.06
3,5270,0.23733718767762185,69.03
3,5425,0.2336795933544636,69.35
3,5580,0.24178818464279175,67.74
3,5735,0.24096894562244414,70.65
3,5890,0.24664794020354747,69.68
3,6045,0.24149070605635642,70.65
