model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_0,type_1_len_1,type_1_len_2,type_1_len_3,type_1_len_4,type_2_len_1,type_2_len_2,type_2_len_3,type_2_len_4,type_2_len_5,type_3_len_0,type_3_len_1,type_3_len_2,type_3_len_3,type_3_len_4,type_4_len_1,type_4_len_2,type_4_len_3,type_4_len_4,type_4_len_5,type_5_len_7,type_5_len_8,type_5_len_9,type_5_len_10,type_5_len_11,type_6_len_0,type_6_len_1,type_6_len_2,type_6_len_3,type_6_len_4,type_7_len_0,type_7_len_1,type_7_len_2,type_7_len_3,type_7_len_4
qwen-1.5b,1596,1000,ood_words,lora,base,base,57.09,0.0,0.0,15.0,22.0,38.0,68.0,90.0,93.0,91.0,82.0,0.0,76.0,80.0,87.0,82.0,41.0,57.0,62.0,70.0,66.0,51.0,54.0,48.0,65.0,51.0,1.0,89.0,97.0,97.0,93.0,0.0,22.0,59.0,68.0,83.0
qwen-1.5b,1596,1000,ood_constants,lora,base,base,36.29,0.0,0.0,10.0,21.0,18.0,68.0,81.0,73.0,67.0,72.0,0.0,51.0,62.0,55.0,53.0,48.0,44.0,37.0,35.0,31.0,16.0,14.0,11.0,19.0,8.0,0.0,62.0,79.0,68.0,65.0,0.0,8.0,28.0,27.0,39.0
qwen-3b,1048,1000,ood_words,lora,meta,meta,76.8,4.0,23.0,38.0,49.0,56.0,56.0,87.0,98.0,98.0,99.0,41.0,99.0,98.0,96.0,94.0,40.0,74.0,85.0,90.0,84.0,72.0,79.0,82.0,98.0,98.0,73.0,98.0,98.0,100.0,98.0,1.0,87.0,98.0,99.0,98.0
qwen-3b,1048,1000,ood_constants,lora,meta,meta,71.0,7.0,24.0,44.0,50.0,54.0,47.0,71.0,80.0,79.0,79.0,29.0,99.0,95.0,93.0,86.0,41.0,64.0,70.0,65.0,68.0,69.0,75.0,83.0,94.0,91.0,64.0,99.0,98.0,100.0,99.0,3.0,93.0,95.0,89.0,88.0
qwen-3b,1048,1000,ood_words,lora,base,base,70.91,0.0,25.0,63.0,68.0,78.0,65.0,90.0,98.0,98.0,92.0,0.0,89.0,89.0,95.0,87.0,53.0,65.0,78.0,87.0,86.0,78.0,80.0,79.0,86.0,90.0,0.0,93.0,98.0,100.0,100.0,0.0,35.0,66.0,83.0,88.0
qwen-3b,1048,1000,ood_constants,lora,base,base,56.86,0.0,26.0,54.0,47.0,53.0,69.0,90.0,91.0,88.0,77.0,1.0,83.0,82.0,81.0,74.0,40.0,61.0,55.0,57.0,65.0,47.0,48.0,37.0,41.0,43.0,8.0,84.0,89.0,90.0,86.0,0.0,25.0,61.0,70.0,67.0
qwen-7b,1048,1000,ood_words,lora,meta,meta,75.54,0.0,17.0,43.0,58.0,69.0,61.0,90.0,99.0,97.0,100.0,2.0,98.0,99.0,100.0,98.0,45.0,81.0,91.0,95.0,90.0,71.0,81.0,85.0,98.0,98.0,0.0,98.0,96.0,99.0,99.0,0.0,92.0,97.0,99.0,98.0
qwen-7b,1048,1000,ood_constants,lora,meta,meta,71.14,0.0,20.0,41.0,54.0,58.0,48.0,86.0,92.0,88.0,89.0,1.0,98.0,98.0,93.0,92.0,40.0,66.0,77.0,82.0,81.0,70.0,79.0,84.0,97.0,91.0,0.0,98.0,98.0,99.0,99.0,0.0,86.0,94.0,94.0,97.0
qwen-3b,1048,1000,ood_words,lora,base,base,70.91,0.0,25.0,63.0,68.0,78.0,65.0,90.0,98.0,98.0,92.0,0.0,89.0,89.0,95.0,87.0,53.0,65.0,78.0,87.0,86.0,78.0,80.0,79.0,86.0,90.0,0.0,93.0,98.0,100.0,100.0,0.0,35.0,66.0,83.0,88.0
qwen-3b,1048,1000,ood_constants,lora,base,base,56.86,0.0,26.0,54.0,47.0,53.0,69.0,90.0,91.0,88.0,77.0,1.0,83.0,82.0,81.0,74.0,40.0,61.0,55.0,57.0,65.0,47.0,48.0,37.0,41.0,43.0,8.0,84.0,89.0,90.0,86.0,0.0,25.0,61.0,70.0,67.0
qwen-3b,1048,1000,ood_support,lora,meta,meta,79.94,9.0,35.0,55.0,64.0,59.0,73.0,92.0,98.0,97.0,96.0,52.0,99.0,93.0,92.0,78.0,55.0,69.0,68.0,78.0,90.0,97.0,99.0,95.0,95.0,93.0,68.0,93.0,98.0,98.0,98.0,33.0,95.0,92.0,97.0,95.0
qwen-7b,1048,1000,ood_words,lora,base,base,72.03,0.0,0.0,29.0,52.0,84.0,66.0,94.0,97.0,100.0,96.0,48.0,97.0,97.0,93.0,95.0,57.0,72.0,78.0,85.0,87.0,94.0,91.0,89.0,95.0,95.0,50.0,99.0,98.0,99.0,99.0,0.0,0.0,39.0,58.0,88.0
qwen-7b,1048,1000,ood_constants,lora,base,base,55.49,0.0,0.0,6.0,45.0,49.0,68.0,81.0,82.0,82.0,85.0,34.0,85.0,84.0,79.0,70.0,53.0,49.0,53.0,61.0,55.0,53.0,52.0,46.0,64.0,48.0,34.0,88.0,89.0,93.0,86.0,0.0,1.0,24.0,67.0,76.0
qwen-3b,512,1000,ood_words,lora,meta,meta,73.63,0.0,18.0,44.0,57.0,57.0,54.0,85.0,96.0,97.0,99.0,0.0,99.0,97.0,96.0,92.0,35.0,65.0,91.0,88.0,86.0,73.0,80.0,83.0,97.0,99.0,1.0,99.0,99.0,100.0,100.0,0.0,92.0,100.0,98.0,100.0
qwen-3b,512,1000,ood_constants,lora,meta,meta,67.74,1.0,19.0,44.0,52.0,56.0,35.0,67.0,81.0,76.0,87.0,0.0,96.0,92.0,97.0,89.0,28.0,63.0,65.0,72.0,71.0,70.0,79.0,82.0,93.0,91.0,3.0,99.0,98.0,98.0,98.0,0.0,92.0,90.0,92.0,95.0
qwen-7b,1048,1000,ood_support,lora,meta,meta,82.34,5.0,31.0,58.0,74.0,66.0,73.0,95.0,100.0,99.0,100.0,62.0,91.0,96.0,93.0,83.0,56.0,83.0,82.0,88.0,92.0,99.0,98.0,99.0,93.0,94.0,66.0,93.0,91.0,99.0,94.0,55.0,89.0,97.0,95.0,93.0
qwen-3b,512,1000,ood_words,lora,base,base,71.89,0.0,9.0,54.0,58.0,76.0,61.0,92.0,94.0,96.0,92.0,8.0,88.0,87.0,87.0,88.0,46.0,68.0,79.0,83.0,86.0,80.0,84.0,87.0,91.0,87.0,58.0,99.0,100.0,97.0,97.0,0.0,41.0,68.0,84.0,91.0
qwen-3b,512,1000,ood_constants,lora,base,base,55.11,0.0,7.0,32.0,43.0,50.0,69.0,89.0,92.0,79.0,75.0,12.0,83.0,81.0,72.0,66.0,46.0,53.0,45.0,54.0,59.0,31.0,41.0,30.0,43.0,40.0,78.0,93.0,93.0,91.0,85.0,0.0,26.0,55.0,54.0,62.0
qwen-3b,512,1000,ood_support,lora,meta,meta,76.63,0.0,23.0,57.0,63.0,75.0,69.0,91.0,99.0,96.0,94.0,27.0,79.0,89.0,88.0,77.0,59.0,75.0,75.0,82.0,84.0,96.0,98.0,99.0,94.0,99.0,32.0,90.0,97.0,98.0,97.0,19.0,87.0,93.0,88.0,93.0
qwen-3b,1596,1000,ood_words,lora,meta,meta,80.63,12.0,21.0,42.0,59.0,57.0,70.0,92.0,99.0,98.0,98.0,63.0,97.0,98.0,98.0,91.0,48.0,75.0,89.0,92.0,87.0,72.0,80.0,78.0,93.0,95.0,65.0,99.0,98.0,100.0,100.0,77.0,84.0,97.0,99.0,99.0
qwen-3b,1596,1000,ood_constants,lora,meta,meta,74.26,17.0,26.0,43.0,48.0,59.0,57.0,74.0,78.0,75.0,84.0,47.0,96.0,95.0,90.0,82.0,46.0,65.0,69.0,69.0,72.0,67.0,76.0,80.0,94.0,89.0,73.0,96.0,92.0,98.0,96.0,90.0,91.0,90.0,87.0,88.0
qwen-7b,512,1000,ood_words,lora,meta,meta,79.26,5.0,33.0,57.0,67.0,69.0,60.0,94.0,100.0,97.0,100.0,75.0,99.0,98.0,97.0,99.0,35.0,71.0,85.0,89.0,85.0,73.0,79.0,85.0,99.0,99.0,39.0,98.0,99.0,100.0,100.0,3.0,88.0,98.0,99.0,100.0
qwen-7b,512,1000,ood_constants,lora,meta,meta,74.06,4.0,33.0,52.0,58.0,63.0,54.0,77.0,87.0,83.0,87.0,74.0,97.0,99.0,92.0,89.0,32.0,65.0,76.0,73.0,70.0,69.0,79.0,82.0,96.0,93.0,47.0,95.0,98.0,98.0,96.0,0.0,93.0,95.0,93.0,93.0
qwen-3b,1596,1000,ood_words,lora,base,base,73.0,0.0,25.0,64.0,62.0,76.0,62.0,91.0,95.0,97.0,87.0,1.0,95.0,94.0,92.0,90.0,57.0,66.0,84.0,81.0,82.0,76.0,77.0,82.0,88.0,90.0,46.0,99.0,98.0,97.0,98.0,0.0,50.0,72.0,87.0,94.0
qwen-3b,1596,1000,ood_constants,lora,base,base,55.37,0.0,12.0,41.0,46.0,40.0,78.0,91.0,90.0,79.0,75.0,8.0,82.0,83.0,74.0,64.0,58.0,58.0,60.0,56.0,63.0,31.0,34.0,24.0,36.0,30.0,53.0,88.0,89.0,88.0,85.0,0.0,39.0,63.0,64.0,56.0
qwen-7b,512,1000,ood_words,lora,base,base,71.77,0.0,0.0,25.0,57.0,80.0,77.0,98.0,99.0,100.0,98.0,1.0,96.0,99.0,97.0,88.0,62.0,71.0,73.0,88.0,86.0,89.0,86.0,86.0,93.0,95.0,2.0,99.0,98.0,99.0,99.0,0.0,27.0,68.0,83.0,93.0
qwen-7b,512,1000,ood_constants,lora,base,base,57.46,0.0,0.0,17.0,57.0,57.0,72.0,91.0,83.0,82.0,84.0,1.0,90.0,85.0,75.0,76.0,52.0,60.0,66.0,63.0,63.0,51.0,53.0,48.0,55.0,53.0,0.0,95.0,91.0,93.0,92.0,0.0,13.0,50.0,68.0,75.0
qwen-3b,1596,1000,ood_support,lora,meta,meta,79.03,13.0,39.0,56.0,64.0,67.0,91.0,91.0,99.0,92.0,97.0,40.0,71.0,86.0,87.0,79.0,69.0,81.0,74.0,83.0,84.0,96.0,96.0,94.0,94.0,94.0,84.0,87.0,91.0,94.0,92.0,64.0,75.0,79.0,84.0,79.0
qwen-7b,1596,1000,ood_words,lora,meta,meta,73.57,1.0,37.0,47.0,67.0,70.0,44.0,88.0,98.0,98.0,99.0,0.0,100.0,98.0,100.0,96.0,22.0,60.0,80.0,91.0,87.0,72.0,81.0,82.0,100.0,99.0,0.0,99.0,98.0,100.0,99.0,0.0,73.0,94.0,96.0,99.0
qwen-7b,1596,1000,ood_constants,lora,meta,meta,69.14,0.0,39.0,45.0,56.0,64.0,39.0,75.0,87.0,89.0,87.0,0.0,95.0,95.0,92.0,93.0,21.0,52.0,72.0,76.0,76.0,65.0,77.0,81.0,96.0,90.0,0.0,97.0,99.0,99.0,98.0,0.0,82.0,94.0,93.0,96.0
qwen-7b,512,1000,ood_support,lora,meta,meta,85.29,24.0,44.0,63.0,71.0,70.0,78.0,98.0,99.0,98.0,96.0,95.0,89.0,90.0,87.0,88.0,38.0,70.0,79.0,82.0,87.0,100.0,100.0,100.0,99.0,100.0,89.0,98.0,97.0,99.0,99.0,77.0,94.0,97.0,96.0,94.0
qwen-7b,1596,1000,ood_words,lora,base,base,71.17,0.0,9.0,28.0,52.0,75.0,72.0,95.0,99.0,99.0,96.0,0.0,86.0,92.0,93.0,94.0,55.0,75.0,85.0,92.0,91.0,83.0,88.0,86.0,92.0,91.0,0.0,99.0,98.0,100.0,100.0,0.0,42.0,58.0,79.0,87.0
qwen-7b,1596,1000,ood_constants,lora,base,base,52.17,0.0,2.0,15.0,47.0,42.0,69.0,89.0,86.0,85.0,84.0,0.0,73.0,86.0,81.0,73.0,53.0,61.0,57.0,57.0,52.0,37.0,37.0,34.0,45.0,34.0,0.0,77.0,88.0,91.0,86.0,0.0,14.0,48.0,61.0,62.0
qwen-7b,1596,1000,ood_support,lora,meta,meta,82.6,22.0,61.0,72.0,78.0,75.0,49.0,90.0,99.0,96.0,97.0,56.0,92.0,96.0,88.0,83.0,32.0,78.0,78.0,83.0,88.0,99.0,100.0,96.0,98.0,98.0,66.0,93.0,96.0,98.0,96.0,58.0,94.0,97.0,94.0,95.0
qwen-1.5b,1048,100,normal,lora,base,meta,41.11,0.0,8.0,9.0,14.0,20.0,63.0,80.0,80.0,65.0,72.0,0.0,47.0,60.0,61.0,49.0,19.0,24.0,27.0,24.0,21.0,33.0,35.0,40.0,50.0,52.0,0.0,63.0,89.0,87.0,89.0,0.0,12.0,43.0,43.0,60.0
