model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_0,type_1_len_1,type_1_len_2,type_1_len_3,type_1_len_4,type_2_len_1,type_2_len_2,type_2_len_3,type_2_len_4,type_2_len_5,type_3_len_0,type_3_len_1,type_3_len_2,type_3_len_3,type_3_len_4,type_4_len_1,type_4_len_2,type_4_len_3,type_4_len_4,type_4_len_5,type_5_len_7,type_5_len_8,type_5_len_9,type_5_len_10,type_5_len_11,type_6_len_0,type_6_len_1,type_6_len_2,type_6_len_3,type_6_len_4,type_7_len_0,type_7_len_1,type_7_len_2,type_7_len_3,type_7_len_4
qwen-1.5b,1048,1000,ood_words,lora,base,meta,60.89,0.0,6.0,13.0,31.0,49.0,71.0,87.0,96.0,85.0,83.0,18.0,86.0,77.0,78.0,73.0,59.0,55.0,54.0,61.0,60.0,64.0,63.0,66.0,76.0,75.0,0.0,99.0,97.0,99.0,97.0,0.0,30.0,63.0,73.0,87.0
qwen-1.5b,1048,1000,ood_support,lora,base,meta,62.43,0.0,7.0,27.0,34.0,39.0,77.0,88.0,95.0,91.0,89.0,47.0,88.0,69.0,65.0,64.0,57.0,64.0,60.0,61.0,67.0,63.0,65.0,73.0,77.0,67.0,47.0,99.0,95.0,91.0,86.0,1.0,41.0,52.0,68.0,71.0
qwen-1.5b,1596,1000,normal,lora,base,meta,61.37,0.0,8.0,23.0,24.0,40.0,70.0,85.0,93.0,82.0,87.0,81.0,88.0,80.0,79.0,66.0,43.0,52.0,58.0,63.0,60.0,48.0,51.0,55.0,62.0,66.0,23.0,100.0,100.0,98.0,97.0,6.0,31.0,64.0,80.0,85.0
qwen-1.5b,1596,1000,ood_constants,lora,base,meta,53.09,0.0,4.0,23.0,29.0,42.0,68.0,79.0,77.0,73.0,78.0,38.0,84.0,70.0,72.0,65.0,50.0,54.0,46.0,40.0,40.0,37.0,31.0,36.0,59.0,45.0,18.0,95.0,98.0,97.0,93.0,1.0,34.0,53.0,63.0,66.0
qwen-1.5b,1596,1000,ood_words,lora,base,meta,62.03,0.0,5.0,17.0,28.0,46.0,70.0,88.0,94.0,85.0,90.0,81.0,92.0,77.0,82.0,81.0,42.0,54.0,56.0,71.0,64.0,50.0,58.0,53.0,71.0,66.0,14.0,99.0,98.0,98.0,97.0,3.0,26.0,63.0,72.0,80.0
qwen-1.5b,1596,1000,ood_support,lora,base,meta,63.66,1.0,9.0,31.0,29.0,41.0,68.0,84.0,87.0,89.0,85.0,89.0,85.0,77.0,67.0,65.0,48.0,54.0,63.0,62.0,55.0,64.0,66.0,64.0,65.0,53.0,62.0,99.0,98.0,89.0,92.0,29.0,41.0,62.0,77.0,78.0
qwen-1.5b,512,1000,normal,lora,base,meta,58.8,0.0,14.0,34.0,35.0,51.0,69.0,85.0,97.0,88.0,88.0,0.0,77.0,81.0,79.0,74.0,53.0,60.0,67.0,68.0,61.0,42.0,49.0,47.0,60.0,66.0,5.0,84.0,96.0,98.0,96.0,0.0,29.0,59.0,69.0,77.0
qwen-1.5b,512,1000,ood_constants,lora,base,meta,49.83,0.0,5.0,27.0,44.0,42.0,70.0,82.0,80.0,68.0,81.0,0.0,66.0,79.0,74.0,64.0,53.0,49.0,47.0,50.0,40.0,21.0,26.0,31.0,37.0,32.0,0.0,80.0,92.0,96.0,95.0,0.0,35.0,59.0,54.0,65.0
qwen-1.5b,512,1000,ood_words,lora,base,meta,58.97,0.0,16.0,33.0,40.0,42.0,67.0,85.0,95.0,83.0,90.0,0.0,75.0,73.0,82.0,77.0,44.0,60.0,61.0,64.0,69.0,46.0,53.0,59.0,62.0,80.0,8.0,86.0,94.0,99.0,98.0,0.0,25.0,55.0,67.0,76.0
qwen-1.5b,512,1000,ood_support,lora,base,meta,59.6,0.0,14.0,41.0,35.0,47.0,67.0,86.0,93.0,88.0,87.0,2.0,73.0,69.0,72.0,73.0,49.0,69.0,58.0,71.0,62.0,57.0,53.0,54.0,72.0,64.0,12.0,94.0,91.0,94.0,95.0,2.0,41.0,64.0,65.0,72.0
qwen-3b,1048,100,normal,lora,base,meta,60.06,1.0,6.0,21.0,27.0,30.0,63.0,83.0,88.0,80.0,92.0,69.0,85.0,77.0,74.0,72.0,33.0,28.0,33.0,37.0,40.0,50.0,65.0,67.0,70.0,80.0,78.0,98.0,98.0,99.0,97.0,1.0,49.0,61.0,70.0,80.0
qwen-3b,1048,100,ood_constants,lora,base,meta,52.63,0.0,6.0,21.0,25.0,29.0,63.0,79.0,79.0,76.0,74.0,57.0,82.0,72.0,77.0,66.0,31.0,30.0,33.0,28.0,29.0,45.0,42.0,48.0,59.0,67.0,27.0,95.0,95.0,98.0,98.0,0.0,32.0,56.0,55.0,68.0
qwen-3b,1048,100,ood_words,lora,base,meta,60.2,0.0,8.0,20.0,28.0,32.0,68.0,84.0,90.0,86.0,91.0,75.0,85.0,75.0,80.0,78.0,25.0,26.0,30.0,45.0,44.0,52.0,62.0,68.0,76.0,77.0,63.0,99.0,99.0,98.0,96.0,1.0,49.0,59.0,62.0,76.0
qwen-3b,1048,100,ood_support,lora,base,meta,64.91,2.0,16.0,24.0,28.0,29.0,72.0,88.0,89.0,86.0,83.0,70.0,90.0,87.0,79.0,70.0,46.0,47.0,35.0,50.0,41.0,73.0,68.0,77.0,77.0,76.0,89.0,94.0,98.0,97.0,94.0,26.0,61.0,62.0,70.0,78.0
qwen-3b,1596,100,normal,lora,base,meta,58.91,8.0,10.0,22.0,23.0,33.0,58.0,84.0,90.0,80.0,91.0,33.0,75.0,66.0,70.0,70.0,26.0,34.0,40.0,38.0,46.0,52.0,62.0,66.0,68.0,78.0,81.0,98.0,99.0,100.0,96.0,15.0,47.0,56.0,73.0,74.0
qwen-3b,1596,100,ood_constants,lora,base,meta,52.11,0.0,6.0,19.0,30.0,26.0,48.0,72.0,78.0,72.0,75.0,42.0,67.0,70.0,71.0,67.0,29.0,33.0,25.0,29.0,29.0,42.0,45.0,48.0,51.0,70.0,89.0,93.0,95.0,98.0,97.0,0.0,37.0,47.0,61.0,63.0
qwen-3b,1596,100,ood_words,lora,base,meta,59.0,12.0,6.0,23.0,21.0,35.0,63.0,80.0,87.0,85.0,88.0,39.0,71.0,68.0,74.0,70.0,23.0,30.0,41.0,43.0,41.0,51.0,64.0,63.0,74.0,82.0,81.0,100.0,100.0,99.0,100.0,10.0,48.0,53.0,65.0,75.0
qwen-3b,1596,100,ood_support,lora,base,meta,64.69,15.0,19.0,30.0,29.0,32.0,61.0,85.0,84.0,83.0,88.0,69.0,91.0,82.0,83.0,73.0,41.0,53.0,46.0,51.0,52.0,73.0,71.0,79.0,78.0,82.0,64.0,96.0,93.0,97.0,91.0,28.0,54.0,56.0,66.0,69.0
qwen-3b,1596,1000,normal,lora,base,meta,75.69,3.0,20.0,46.0,57.0,71.0,67.0,91.0,98.0,97.0,89.0,82.0,100.0,94.0,90.0,82.0,62.0,68.0,73.0,74.0,79.0,83.0,77.0,82.0,91.0,85.0,100.0,100.0,100.0,100.0,99.0,0.0,53.0,68.0,81.0,87.0
qwen-3b,1596,1000,ood_constants,lora,base,meta,68.89,1.0,15.0,32.0,53.0,55.0,79.0,90.0,93.0,80.0,85.0,91.0,99.0,89.0,88.0,81.0,75.0,71.0,67.0,59.0,65.0,56.0,49.0,55.0,65.0,61.0,100.0,98.0,97.0,99.0,100.0,0.0,51.0,64.0,74.0,74.0
qwen-3b,1596,1000,ood_words,lora,base,meta,75.49,1.0,23.0,53.0,53.0,62.0,60.0,93.0,99.0,96.0,89.0,85.0,97.0,90.0,92.0,91.0,70.0,60.0,74.0,78.0,80.0,79.0,73.0,80.0,86.0,86.0,100.0,100.0,100.0,99.0,100.0,0.0,52.0,70.0,81.0,90.0
qwen-3b,1596,1000,ood_support,lora,base,meta,77.14,12.0,32.0,53.0,51.0,69.0,71.0,94.0,98.0,96.0,90.0,77.0,99.0,89.0,92.0,83.0,57.0,71.0,71.0,76.0,78.0,83.0,77.0,83.0,92.0,89.0,100.0,97.0,96.0,97.0,92.0,19.0,62.0,78.0,85.0,91.0
qwen-3b,512,1000,normal,lora,base,meta,75.11,0.0,25.0,52.0,65.0,79.0,62.0,92.0,96.0,94.0,92.0,95.0,94.0,87.0,90.0,82.0,54.0,64.0,66.0,74.0,74.0,76.0,81.0,81.0,89.0,89.0,99.0,97.0,98.0,100.0,99.0,0.0,42.0,71.0,82.0,88.0
qwen-3b,512,1000,ood_constants,lora,base,meta,67.6,0.0,17.0,35.0,59.0,60.0,71.0,83.0,90.0,82.0,84.0,95.0,87.0,88.0,80.0,77.0,57.0,62.0,53.0,58.0,66.0,63.0,63.0,66.0,72.0,61.0,98.0,96.0,97.0,98.0,98.0,0.0,34.0,64.0,73.0,79.0
qwen-3b,512,1000,ood_words,lora,base,meta,75.89,0.0,23.0,54.0,58.0,71.0,61.0,94.0,96.0,98.0,89.0,90.0,95.0,89.0,91.0,80.0,56.0,69.0,65.0,72.0,80.0,83.0,88.0,84.0,93.0,91.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0,67.0,80.0,89.0
qwen-3b,512,1000,ood_support,lora,base,meta,75.51,1.0,36.0,58.0,66.0,77.0,62.0,92.0,97.0,93.0,94.0,89.0,94.0,87.0,81.0,79.0,47.0,68.0,65.0,77.0,72.0,82.0,81.0,83.0,92.0,88.0,97.0,97.0,99.0,97.0,97.0,3.0,52.0,74.0,82.0,84.0
qwen-7b,1048,100,normal,lora,base,meta,60.89,12.0,15.0,25.0,34.0,43.0,55.0,86.0,88.0,90.0,91.0,30.0,82.0,78.0,69.0,64.0,19.0,34.0,29.0,28.0,40.0,65.0,62.0,61.0,75.0,81.0,52.0,100.0,100.0,98.0,100.0,51.0,48.0,67.0,72.0,87.0
qwen-7b,1048,100,ood_constants,lora,base,meta,58.71,13.0,17.0,28.0,27.0,35.0,52.0,83.0,82.0,79.0,86.0,55.0,70.0,80.0,72.0,63.0,38.0,39.0,36.0,41.0,39.0,45.0,52.0,53.0,69.0,63.0,55.0,94.0,99.0,99.0,99.0,55.0,43.0,59.0,63.0,72.0
qwen-7b,1048,100,ood_words,lora,base,meta,62.69,18.0,21.0,27.0,36.0,45.0,59.0,84.0,89.0,90.0,87.0,34.0,89.0,74.0,69.0,71.0,20.0,26.0,34.0,37.0,39.0,60.0,65.0,67.0,79.0,76.0,68.0,100.0,100.0,99.0,98.0,56.0,54.0,66.0,74.0,83.0
qwen-7b,1048,100,ood_support,lora,base,meta,66.0,12.0,25.0,36.0,35.0,39.0,55.0,88.0,91.0,85.0,85.0,71.0,90.0,82.0,77.0,72.0,30.0,44.0,34.0,43.0,51.0,84.0,83.0,78.0,75.0,72.0,88.0,98.0,96.0,98.0,93.0,41.0,48.0,70.0,67.0,74.0
qwen-7b,512,1000,normal,lora,base,meta,76.97,0.0,7.0,37.0,62.0,68.0,79.0,97.0,100.0,100.0,99.0,74.0,94.0,96.0,97.0,91.0,54.0,62.0,78.0,77.0,84.0,88.0,90.0,86.0,92.0,92.0,80.0,100.0,100.0,100.0,100.0,0.0,61.0,74.0,83.0,92.0
qwen-7b,512,1000,ood_constants,lora,base,meta,70.26,0.0,2.0,25.0,60.0,64.0,78.0,91.0,88.0,85.0,88.0,84.0,93.0,88.0,82.0,81.0,57.0,57.0,68.0,66.0,59.0,71.0,78.0,79.0,79.0,83.0,82.0,97.0,99.0,96.0,95.0,0.0,44.0,72.0,83.0,85.0
qwen-7b,512,1000,ood_words,lora,base,meta,76.0,0.0,6.0,35.0,58.0,70.0,77.0,99.0,97.0,100.0,95.0,73.0,99.0,95.0,93.0,91.0,56.0,52.0,71.0,74.0,80.0,89.0,91.0,92.0,94.0,95.0,74.0,99.0,100.0,100.0,99.0,0.0,57.0,75.0,84.0,90.0
qwen-7b,512,1000,ood_support,lora,base,meta,78.29,0.0,15.0,46.0,60.0,74.0,79.0,96.0,98.0,97.0,95.0,80.0,96.0,97.0,94.0,89.0,55.0,66.0,82.0,81.0,80.0,87.0,94.0,90.0,95.0,96.0,91.0,96.0,100.0,100.0,100.0,6.0,58.0,72.0,85.0,90.0
qwen-3b,512,100,normal,lora,base,meta,56.54,0.0,9.0,22.0,21.0,37.0,55.0,84.0,93.0,81.0,89.0,26.0,79.0,75.0,62.0,66.0,22.0,37.0,45.0,37.0,42.0,44.0,48.0,57.0,67.0,70.0,93.0,92.0,95.0,96.0,95.0,0.0,35.0,59.0,67.0,79.0
qwen-3b,512,100,ood_constants,lora,base,meta,49.83,0.0,7.0,25.0,29.0,29.0,33.0,70.0,82.0,69.0,72.0,18.0,63.0,72.0,67.0,73.0,28.0,34.0,39.0,35.0,35.0,36.0,38.0,41.0,52.0,61.0,72.0,88.0,93.0,96.0,96.0,0.0,23.0,49.0,57.0,62.0
qwen-3b,512,100,ood_words,lora,base,meta,57.34,0.0,11.0,21.0,24.0,36.0,55.0,86.0,95.0,83.0,91.0,21.0,73.0,74.0,71.0,66.0,28.0,42.0,42.0,43.0,49.0,48.0,53.0,54.0,77.0,71.0,90.0,91.0,92.0,94.0,96.0,1.0,34.0,56.0,63.0,76.0
qwen-3b,512,100,ood_support,lora,base,meta,61.57,4.0,8.0,23.0,24.0,28.0,59.0,83.0,91.0,80.0,87.0,75.0,89.0,84.0,75.0,65.0,40.0,57.0,48.0,50.0,49.0,66.0,64.0,70.0,72.0,59.0,93.0,85.0,94.0,93.0,90.0,6.0,47.0,59.0,67.0,71.0
qwen-3b,1048,1000,normal,lora,base,meta,72.06,0.0,20.0,55.0,63.0,59.0,69.0,94.0,98.0,98.0,93.0,30.0,94.0,94.0,91.0,85.0,57.0,75.0,71.0,77.0,81.0,79.0,76.0,73.0,83.0,85.0,56.0,100.0,100.0,100.0,99.0,0.0,35.0,68.0,78.0,86.0
qwen-3b,1048,1000,ood_constants,lora,base,meta,67.03,0.0,21.0,45.0,52.0,57.0,73.0,89.0,93.0,90.0,85.0,31.0,94.0,88.0,87.0,78.0,51.0,64.0,56.0,63.0,61.0,68.0,70.0,61.0,78.0,74.0,72.0,97.0,100.0,99.0,98.0,0.0,38.0,63.0,71.0,79.0
qwen-3b,1048,1000,ood_words,lora,base,meta,71.97,0.0,18.0,49.0,54.0,59.0,63.0,93.0,100.0,99.0,97.0,34.0,92.0,89.0,91.0,84.0,57.0,72.0,77.0,78.0,83.0,77.0,80.0,81.0,84.0,84.0,57.0,100.0,100.0,100.0,100.0,0.0,40.0,65.0,78.0,84.0
qwen-3b,1048,1000,ood_support,lora,base,meta,71.86,0.0,23.0,52.0,55.0,61.0,64.0,94.0,98.0,97.0,95.0,41.0,91.0,90.0,84.0,81.0,61.0,72.0,70.0,77.0,77.0,74.0,75.0,81.0,87.0,84.0,56.0,99.0,99.0,99.0,98.0,0.0,48.0,72.0,78.0,82.0
qwen-7b,512,100,normal,lora,base,meta,55.06,2.0,2.0,14.0,19.0,32.0,60.0,90.0,96.0,90.0,89.0,27.0,79.0,70.0,72.0,71.0,26.0,42.0,42.0,56.0,56.0,37.0,39.0,49.0,57.0,65.0,39.0,100.0,98.0,100.0,95.0,0.0,24.0,54.0,62.0,73.0
qwen-7b,512,100,ood_constants,lora,base,meta,50.0,1.0,3.0,11.0,26.0,37.0,45.0,80.0,88.0,77.0,89.0,3.0,71.0,82.0,74.0,72.0,34.0,47.0,43.0,37.0,47.0,27.0,29.0,31.0,47.0,46.0,18.0,95.0,94.0,96.0,98.0,0.0,23.0,50.0,62.0,67.0
qwen-7b,512,100,ood_words,lora,base,meta,55.31,0.0,3.0,14.0,26.0,36.0,48.0,85.0,91.0,89.0,86.0,23.0,79.0,82.0,73.0,72.0,24.0,53.0,46.0,49.0,55.0,37.0,45.0,45.0,60.0,65.0,34.0,98.0,97.0,99.0,99.0,0.0,26.0,53.0,67.0,77.0
qwen-7b,512,100,ood_support,lora,base,meta,60.46,0.0,11.0,22.0,32.0,36.0,53.0,90.0,95.0,85.0,81.0,60.0,85.0,79.0,75.0,68.0,38.0,56.0,51.0,53.0,56.0,54.0,60.0,61.0,68.0,55.0,77.0,98.0,99.0,91.0,90.0,6.0,35.0,56.0,62.0,78.0
qwen-7b,1596,1000,normal,lora,base,meta,71.97,0.0,29.0,48.0,57.0,75.0,75.0,95.0,100.0,98.0,98.0,0.0,95.0,91.0,96.0,91.0,54.0,65.0,74.0,80.0,78.0,82.0,89.0,87.0,92.0,90.0,0.0,100.0,100.0,99.0,99.0,0.0,47.0,70.0,78.0,87.0
qwen-7b,1596,1000,ood_constants,lora,base,meta,62.43,0.0,7.0,30.0,57.0,62.0,64.0,90.0,87.0,92.0,91.0,0.0,91.0,90.0,87.0,81.0,43.0,60.0,52.0,55.0,53.0,66.0,58.0,72.0,76.0,73.0,0.0,93.0,96.0,100.0,100.0,0.0,46.0,63.0,71.0,79.0
qwen-7b,1596,1000,ood_words,lora,base,meta,72.29,0.0,33.0,47.0,62.0,77.0,73.0,96.0,98.0,97.0,100.0,0.0,98.0,94.0,95.0,90.0,54.0,60.0,71.0,80.0,82.0,85.0,87.0,89.0,89.0,89.0,0.0,98.0,100.0,100.0,99.0,0.0,48.0,71.0,80.0,88.0
qwen-7b,1596,1000,ood_support,lora,base,meta,74.91,0.0,38.0,61.0,58.0,76.0,68.0,93.0,100.0,97.0,96.0,29.0,94.0,92.0,95.0,90.0,54.0,77.0,72.0,81.0,80.0,90.0,92.0,91.0,91.0,94.0,38.0,95.0,99.0,98.0,100.0,0.0,49.0,71.0,77.0,86.0
qwen-7b,1048,1000,normal,lora,base,meta,72.69,0.0,1.0,18.0,46.0,59.0,66.0,96.0,99.0,99.0,96.0,73.0,99.0,94.0,96.0,90.0,55.0,57.0,71.0,75.0,85.0,88.0,95.0,79.0,92.0,93.0,86.0,99.0,100.0,100.0,100.0,0.0,34.0,55.0,65.0,83.0
qwen-7b,1048,1000,ood_constants,lora,base,meta,66.51,0.0,0.0,9.0,54.0,58.0,66.0,88.0,89.0,85.0,90.0,66.0,92.0,89.0,88.0,76.0,51.0,55.0,58.0,65.0,62.0,70.0,72.0,75.0,88.0,84.0,83.0,98.0,98.0,100.0,99.0,0.0,14.0,45.0,78.0,83.0
qwen-7b,1048,1000,ood_words,lora,base,meta,72.11,0.0,0.0,18.0,37.0,59.0,67.0,96.0,97.0,100.0,98.0,74.0,97.0,94.0,88.0,92.0,55.0,57.0,68.0,80.0,85.0,87.0,91.0,79.0,98.0,96.0,81.0,100.0,99.0,99.0,98.0,0.0,29.0,51.0,69.0,85.0
qwen-7b,1048,1000,ood_support,lora,base,meta,74.91,0.0,9.0,32.0,51.0,61.0,67.0,95.0,97.0,100.0,96.0,60.0,96.0,94.0,92.0,89.0,60.0,73.0,72.0,85.0,83.0,87.0,91.0,90.0,99.0,97.0,80.0,100.0,100.0,100.0,99.0,1.0,44.0,60.0,74.0,88.0
qwen-7b,1596,100,normal,lora,base,meta,56.31,3.0,25.0,30.0,32.0,41.0,54.0,85.0,88.0,86.0,85.0,32.0,90.0,76.0,72.0,72.0,19.0,33.0,27.0,38.0,39.0,44.0,52.0,60.0,69.0,72.0,4.0,99.0,96.0,98.0,99.0,0.0,44.0,66.0,68.0,73.0
qwen-7b,1596,100,ood_constants,lora,base,meta,54.2,2.0,19.0,33.0,35.0,41.0,44.0,80.0,82.0,75.0,86.0,8.0,82.0,84.0,71.0,69.0,26.0,47.0,42.0,40.0,45.0,44.0,41.0,48.0,61.0,64.0,0.0,96.0,97.0,98.0,97.0,1.0,46.0,57.0,64.0,72.0
qwen-7b,1596,100,ood_words,lora,base,meta,56.57,4.0,24.0,36.0,36.0,35.0,52.0,81.0,93.0,87.0,85.0,24.0,86.0,81.0,68.0,72.0,15.0,34.0,28.0,35.0,38.0,54.0,61.0,53.0,74.0,71.0,1.0,99.0,97.0,100.0,98.0,2.0,45.0,59.0,72.0,80.0
qwen-7b,1596,100,ood_support,lora,base,meta,62.91,12.0,36.0,37.0,34.0,34.0,56.0,84.0,89.0,89.0,82.0,66.0,92.0,87.0,78.0,71.0,25.0,45.0,35.0,48.0,42.0,69.0,71.0,76.0,74.0,74.0,24.0,100.0,95.0,97.0,98.0,16.0,49.0,65.0,71.0,81.0
