model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_0,type_1_len_1,type_1_len_2,type_1_len_3,type_1_len_4,type_1_len_5,type_1_len_6,type_1_len_7,type_1_len_8,type_1_len_9,type_2_len_1,type_2_len_2,type_2_len_3,type_2_len_4,type_2_len_5,type_2_len_6,type_2_len_7,type_2_len_8,type_2_len_9,type_2_len_10,type_3_len_0,type_3_len_1,type_3_len_2,type_3_len_3,type_3_len_4,type_3_len_5,type_3_len_6,type_3_len_7,type_3_len_8,type_3_len_9,type_3_len_10,type_3_len_11,type_3_len_12,type_3_len_13,type_3_len_14,type_3_len_15,type_3_len_16,type_3_len_17,type_3_len_18,type_3_len_19,type_4_len_1,type_4_len_2,type_4_len_3,type_4_len_4,type_4_len_5,type_4_len_6,type_4_len_7,type_4_len_8,type_4_len_9,type_4_len_10,type_4_len_11,type_5_len_7,type_5_len_8,type_5_len_9,type_5_len_10,type_5_len_11,type_5_len_12,type_5_len_13,type_5_len_14,type_5_len_15,type_5_len_16,type_5_len_17,type_5_len_18,type_5_len_19,type_6_len_0,type_6_len_1,type_6_len_2,type_6_len_3,type_6_len_4,type_6_len_5,type_6_len_6,type_6_len_7,type_6_len_8,type_6_len_9,type_6_len_10,type_6_len_11,type_6_len_12,type_6_len_13,type_6_len_14,type_6_len_15,type_6_len_16,type_6_len_17,type_6_len_18,type_7_len_0,type_7_len_1,type_7_len_2,type_7_len_3,type_7_len_4,type_7_len_5,type_7_len_6,type_7_len_7,type_7_len_8,type_7_len_9,type_7_len_10,type_7_len_11,type_7_len_12,type_7_len_13
qwen-1.5b,1048,100,normal,lora,meta,meta,76.24,58.0,42.0,34.0,40.0,44.0,56.0,47.0,47.0,48.0,53.0,91.0,92.0,92.0,85.0,86.0,87.0,83.0,85.0,80.0,77.0,99.0,96.0,93.0,82.0,75.0,72.0,60.0,77.0,68.0,67.0,55.0,69.0,57.0,56.0,58.0,61.0,63.0,68.0,62.0,62.0,62.0,56.0,54.0,42.0,53.0,52.0,51.0,56.0,68.0,62.0,63.0,92.0,90.0,85.0,80.0,87.0,92.0,91.0,92.0,93.0,89.0,88.0,86.0,83.0,97.0,98.0,98.0,98.0,99.0,96.0,95.0,93.0,97.0,97.0,94.0,91.0,93.0,90.0,93.0,91.0,91.0,84.0,81.0,98.0,92.0,86.0,82.0,85.0,73.0,76.0,76.0,87.0,68.0,75.0,75.0,79.0,73.0
qwen-1.5b,1048,100,normal,lora,base,base,55.23,96.0,72.0,51.0,39.0,29.0,24.0,29.0,30.0,29.0,37.0,97.0,91.0,91.0,79.0,75.0,72.0,80.0,75.0,79.0,79.0,99.0,89.0,74.0,59.0,54.0,50.0,47.0,38.0,39.0,32.0,34.0,35.0,29.0,37.0,36.0,42.0,31.0,39.0,35.0,36.0,71.0,59.0,38.0,32.0,28.0,26.0,19.0,35.0,35.0,36.0,23.0,19.0,20.0,29.0,42.0,30.0,32.0,46.0,33.0,36.0,35.0,28.0,32.0,37.0,100.0,96.0,89.0,93.0,85.0,81.0,71.0,75.0,75.0,75.0,76.0,72.0,81.0,75.0,83.0,73.0,79.0,87.0,85.0,98.0,82.0,70.0,60.0,67.0,53.0,52.0,48.0,54.0,44.0,48.0,38.0,41.0,41.0
qwen-7b,512,1000,normal,lora,meta,meta,97.0,98.0,97.0,97.0,96.0,97.0,95.0,88.0,86.0,91.0,89.0,100.0,100.0,99.0,100.0,99.0,100.0,99.0,98.0,96.0,94.0,95.0,99.0,99.0,97.0,94.0,98.0,96.0,95.0,95.0,95.0,97.0,97.0,98.0,93.0,94.0,97.0,89.0,95.0,89.0,97.0,95.0,95.0,95.0,96.0,91.0,95.0,93.0,97.0,95.0,96.0,97.0,99.0,99.0,96.0,96.0,94.0,99.0,99.0,100.0,99.0,99.0,100.0,100.0,98.0,96.0,98.0,97.0,100.0,99.0,100.0,99.0,98.0,100.0,99.0,99.0,99.0,99.0,100.0,99.0,100.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,99.0,100.0,98.0,99.0,96.0,98.0
qwen-7b,512,1000,normal,lora,base,base,96.06,100.0,96.0,99.0,96.0,94.0,95.0,91.0,95.0,93.0,91.0,100.0,98.0,100.0,100.0,100.0,99.0,100.0,99.0,100.0,100.0,100.0,98.0,99.0,96.0,97.0,93.0,89.0,93.0,93.0,93.0,96.0,92.0,88.0,92.0,92.0,95.0,93.0,95.0,95.0,87.0,98.0,96.0,97.0,94.0,96.0,94.0,94.0,96.0,94.0,96.0,90.0,95.0,95.0,94.0,93.0,97.0,96.0,95.0,95.0,95.0,86.0,93.0,89.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,98.0,100.0,99.0,93.0,97.0,92.0,91.0,84.0,90.0
qwen-7b,1596,1000,normal,lora,meta,meta,98.81,99.0,97.0,96.0,98.0,96.0,96.0,93.0,95.0,94.0,97.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,98.0,97.0,96.0,99.0,96.0,99.0,97.0,96.0,97.0,100.0,99.0,98.0,99.0,97.0,97.0,97.0,98.0,95.0,97.0,98.0,99.0,98.0,99.0,98.0,98.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,98.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,98.0,98.0
qwen-7b,1596,1000,normal,lora,base,base,94.54,100.0,97.0,98.0,94.0,86.0,88.0,87.0,90.0,93.0,91.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,99.0,100.0,100.0,100.0,99.0,97.0,95.0,93.0,92.0,90.0,93.0,90.0,86.0,91.0,90.0,92.0,91.0,93.0,92.0,93.0,93.0,92.0,93.0,99.0,98.0,97.0,98.0,91.0,95.0,96.0,92.0,96.0,92.0,87.0,85.0,81.0,80.0,83.0,90.0,89.0,90.0,87.0,89.0,86.0,85.0,83.0,84.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,99.0,98.0,99.0,100.0,100.0,99.0,99.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,99.0,97.0,99.0,99.0,99.0,94.0,93.0,94.0,93.0,94.0,88.0
qwen-3b,512,1000,normal,lora,meta,meta,95.68,99.0,96.0,90.0,89.0,88.0,90.0,90.0,81.0,85.0,89.0,100.0,100.0,100.0,95.0,100.0,97.0,100.0,97.0,95.0,91.0,99.0,97.0,99.0,97.0,93.0,94.0,91.0,94.0,95.0,94.0,92.0,95.0,97.0,91.0,93.0,92.0,91.0,95.0,93.0,97.0,97.0,94.0,83.0,86.0,88.0,88.0,86.0,91.0,96.0,96.0,98.0,97.0,99.0,97.0,89.0,97.0,97.0,100.0,98.0,100.0,100.0,100.0,97.0,98.0,93.0,98.0,97.0,100.0,99.0,100.0,99.0,99.0,98.0,100.0,98.0,100.0,100.0,99.0,98.0,100.0,97.0,99.0,99.0,95.0,98.0,99.0,99.0,100.0,99.0,97.0,100.0,99.0,98.0,97.0,100.0,97.0,97.0
qwen-3b,512,1000,normal,lora,base,base,91.8,99.0,95.0,96.0,94.0,89.0,85.0,83.0,86.0,82.0,91.0,100.0,99.0,99.0,97.0,95.0,98.0,99.0,99.0,97.0,98.0,99.0,95.0,88.0,92.0,94.0,87.0,82.0,86.0,87.0,84.0,79.0,88.0,92.0,77.0,87.0,87.0,88.0,88.0,89.0,88.0,98.0,96.0,86.0,91.0,89.0,88.0,92.0,88.0,87.0,92.0,88.0,80.0,82.0,77.0,87.0,86.0,86.0,87.0,91.0,83.0,87.0,85.0,86.0,91.0,100.0,98.0,99.0,99.0,98.0,100.0,97.0,98.0,99.0,99.0,100.0,98.0,97.0,99.0,97.0,98.0,98.0,98.0,94.0,100.0,100.0,98.0,96.0,100.0,95.0,96.0,95.0,90.0,90.0,85.0,87.0,77.0,89.0
qwen-1.5b,512,1000,normal,lora,meta,meta,93.82,99.0,87.0,81.0,79.0,82.0,87.0,82.0,77.0,85.0,85.0,100.0,100.0,100.0,96.0,94.0,92.0,96.0,100.0,93.0,91.0,99.0,99.0,98.0,97.0,92.0,90.0,86.0,94.0,89.0,93.0,91.0,90.0,89.0,85.0,91.0,87.0,88.0,92.0,91.0,93.0,88.0,91.0,90.0,81.0,80.0,86.0,87.0,89.0,90.0,92.0,90.0,100.0,100.0,99.0,100.0,99.0,100.0,99.0,97.0,98.0,100.0,100.0,100.0,99.0,100.0,100.0,98.0,100.0,100.0,98.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,99.0,100.0,97.0,98.0,91.0,97.0,100.0,100.0,100.0,98.0,97.0,96.0,99.0,96.0,96.0,92.0,89.0,88.0,95.0,91.0
qwen-1.5b,512,1000,normal,lora,base,base,84.15,100.0,88.0,91.0,76.0,75.0,70.0,68.0,75.0,71.0,73.0,100.0,99.0,100.0,96.0,98.0,98.0,96.0,95.0,99.0,98.0,100.0,97.0,90.0,91.0,87.0,77.0,75.0,71.0,72.0,81.0,68.0,72.0,65.0,77.0,76.0,70.0,70.0,74.0,72.0,70.0,96.0,91.0,81.0,89.0,74.0,61.0,68.0,63.0,72.0,65.0,48.0,71.0,69.0,70.0,85.0,79.0,75.0,78.0,80.0,69.0,76.0,72.0,64.0,77.0,100.0,100.0,99.0,97.0,99.0,98.0,99.0,98.0,96.0,96.0,99.0,93.0,96.0,96.0,93.0,90.0,95.0,94.0,94.0,100.0,99.0,96.0,95.0,95.0,89.0,86.0,87.0,80.0,84.0,88.0,83.0,75.0,80.0
