model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_0,type_1_len_1,type_1_len_2,type_1_len_3,type_1_len_4,type_1_len_5,type_1_len_6,type_1_len_7,type_1_len_8,type_1_len_9,type_2_len_1,type_2_len_2,type_2_len_3,type_2_len_4,type_2_len_5,type_2_len_6,type_2_len_7,type_2_len_8,type_2_len_9,type_2_len_10,type_3_len_0,type_3_len_1,type_3_len_2,type_3_len_3,type_3_len_4,type_3_len_5,type_3_len_6,type_3_len_7,type_3_len_8,type_3_len_9,type_3_len_10,type_3_len_11,type_3_len_12,type_3_len_13,type_3_len_14,type_3_len_15,type_3_len_16,type_3_len_17,type_3_len_18,type_3_len_19,type_4_len_1,type_4_len_2,type_4_len_3,type_4_len_4,type_4_len_5,type_4_len_6,type_4_len_7,type_4_len_8,type_4_len_9,type_4_len_10,type_4_len_11,type_5_len_7,type_5_len_8,type_5_len_9,type_5_len_10,type_5_len_11,type_5_len_12,type_5_len_13,type_5_len_14,type_5_len_15,type_5_len_16,type_5_len_17,type_5_len_18,type_5_len_19,type_6_len_0,type_6_len_1,type_6_len_2,type_6_len_3,type_6_len_4,type_6_len_5,type_6_len_6,type_6_len_7,type_6_len_8,type_6_len_9,type_6_len_10,type_6_len_11,type_6_len_12,type_6_len_13,type_6_len_14,type_6_len_15,type_6_len_16,type_6_len_17,type_6_len_18,type_7_len_0,type_7_len_1,type_7_len_2,type_7_len_3,type_7_len_4,type_7_len_5,type_7_len_6,type_7_len_7,type_7_len_8,type_7_len_9,type_7_len_10,type_7_len_11,type_7_len_12,type_7_len_13
qwen-3b,1596,1000,normal,lora,meta,meta,96.24,97.0,93.0,93.0,93.0,89.0,91.0,93.0,87.0,86.0,87.0,99.0,100.0,100.0,100.0,99.0,97.0,99.0,93.0,97.0,95.0,99.0,96.0,99.0,96.0,98.0,93.0,92.0,92.0,94.0,94.0,93.0,97.0,96.0,91.0,96.0,95.0,97.0,96.0,93.0,98.0,94.0,91.0,91.0,93.0,93.0,89.0,93.0,97.0,96.0,94.0,94.0,96.0,95.0,95.0,94.0,94.0,98.0,96.0,98.0,99.0,99.0,100.0,98.0,100.0,97.0,97.0,97.0,100.0,100.0,100.0,100.0,98.0,98.0,100.0,99.0,100.0,100.0,99.0,99.0,98.0,99.0,96.0,98.0,98.0,99.0,99.0,99.0,100.0,99.0,99.0,98.0,100.0,98.0,97.0,99.0,98.0,97.0
qwen-3b,1596,1000,normal,lora,base,base,94.07,100.0,97.0,100.0,96.0,88.0,85.0,85.0,92.0,92.0,84.0,100.0,100.0,100.0,99.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,98.0,98.0,92.0,85.0,89.0,93.0,86.0,89.0,90.0,89.0,90.0,91.0,91.0,91.0,94.0,94.0,94.0,99.0,99.0,93.0,94.0,93.0,94.0,93.0,95.0,94.0,94.0,91.0,79.0,86.0,78.0,90.0,90.0,84.0,91.0,90.0,90.0,86.0,89.0,87.0,90.0,100.0,100.0,100.0,100.0,99.0,100.0,98.0,100.0,99.0,97.0,96.0,99.0,98.0,96.0,96.0,98.0,98.0,98.0,99.0,100.0,99.0,99.0,100.0,99.0,98.0,97.0,97.0,93.0,93.0,92.0,81.0,84.0,84.0
qwen-1.5b,1596,1000,normal,lora,meta,meta,92.74,99.0,90.0,82.0,82.0,83.0,86.0,82.0,78.0,81.0,83.0,100.0,100.0,98.0,95.0,94.0,95.0,94.0,95.0,94.0,90.0,100.0,99.0,96.0,93.0,87.0,91.0,87.0,89.0,84.0,92.0,84.0,84.0,85.0,86.0,83.0,87.0,87.0,90.0,89.0,94.0,92.0,92.0,87.0,84.0,80.0,84.0,87.0,88.0,90.0,85.0,85.0,95.0,97.0,96.0,89.0,90.0,96.0,92.0,97.0,97.0,99.0,94.0,100.0,98.0,100.0,99.0,100.0,100.0,98.0,99.0,100.0,98.0,98.0,95.0,95.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,96.0,99.0,100.0,100.0,96.0,99.0,97.0,95.0,96.0,98.0,96.0,94.0,94.0,92.0,86.0
qwen-1.5b,1596,1000,normal,lora,base,base,86.49,100.0,88.0,92.0,79.0,75.0,70.0,69.0,78.0,71.0,76.0,100.0,98.0,100.0,96.0,96.0,94.0,96.0,95.0,97.0,95.0,100.0,96.0,96.0,89.0,88.0,82.0,73.0,81.0,79.0,70.0,79.0,84.0,72.0,72.0,82.0,77.0,68.0,84.0,81.0,70.0,96.0,97.0,94.0,90.0,80.0,80.0,82.0,78.0,82.0,76.0,60.0,68.0,74.0,72.0,83.0,74.0,85.0,77.0,80.0,77.0,83.0,78.0,78.0,83.0,100.0,100.0,99.0,98.0,99.0,96.0,99.0,98.0,96.0,98.0,98.0,97.0,94.0,98.0,98.0,93.0,95.0,96.0,92.0,100.0,98.0,96.0,93.0,92.0,91.0,88.0,88.0,90.0,83.0,84.0,76.0,79.0,73.0
qwen-7b,512,100,normal,lora,meta,meta,86.92,99.0,73.0,62.0,61.0,64.0,70.0,64.0,67.0,60.0,72.0,93.0,100.0,98.0,96.0,95.0,88.0,90.0,89.0,90.0,91.0,99.0,100.0,95.0,85.0,89.0,83.0,75.0,79.0,77.0,75.0,74.0,78.0,77.0,71.0,78.0,80.0,77.0,78.0,84.0,84.0,80.0,76.0,74.0,58.0,69.0,76.0,66.0,78.0,77.0,81.0,78.0,94.0,95.0,96.0,93.0,89.0,92.0,96.0,94.0,96.0,98.0,95.0,95.0,97.0,100.0,100.0,98.0,98.0,99.0,97.0,99.0,97.0,94.0,91.0,97.0,97.0,96.0,97.0,97.0,97.0,97.0,87.0,94.0,99.0,98.0,95.0,96.0,97.0,92.0,96.0,94.0,94.0,91.0,88.0,85.0,85.0,86.0
qwen-7b,512,100,normal,lora,base,base,66.1,100.0,76.0,72.0,55.0,45.0,35.0,45.0,36.0,42.0,47.0,99.0,98.0,94.0,96.0,90.0,89.0,88.0,89.0,91.0,81.0,100.0,95.0,85.0,82.0,74.0,65.0,50.0,61.0,53.0,52.0,46.0,49.0,45.0,55.0,54.0,47.0,44.0,48.0,47.0,48.0,76.0,66.0,52.0,54.0,44.0,46.0,42.0,46.0,56.0,56.0,35.0,35.0,36.0,43.0,57.0,46.0,40.0,39.0,35.0,34.0,40.0,27.0,40.0,50.0,100.0,100.0,96.0,95.0,90.0,92.0,93.0,94.0,86.0,89.0,88.0,86.0,87.0,81.0,88.0,83.0,89.0,85.0,90.0,98.0,86.0,76.0,79.0,73.0,67.0,61.0,60.0,56.0,59.0,61.0,59.0,53.0,49.0
qwen-1.5b,512,100,normal,lora,meta,meta,76.81,61.0,51.0,41.0,40.0,49.0,61.0,53.0,49.0,55.0,63.0,93.0,89.0,89.0,84.0,83.0,82.0,84.0,82.0,78.0,82.0,99.0,96.0,88.0,82.0,75.0,74.0,56.0,75.0,67.0,65.0,57.0,71.0,63.0,59.0,54.0,65.0,64.0,67.0,65.0,67.0,69.0,63.0,52.0,45.0,50.0,49.0,49.0,55.0,61.0,55.0,60.0,97.0,95.0,91.0,88.0,89.0,91.0,90.0,92.0,94.0,91.0,90.0,85.0,87.0,100.0,99.0,99.0,98.0,96.0,96.0,97.0,94.0,94.0,92.0,95.0,93.0,95.0,94.0,95.0,94.0,90.0,84.0,84.0,100.0,90.0,85.0,84.0,82.0,70.0,76.0,70.0,81.0,69.0,72.0,74.0,76.0,67.0
qwen-1.5b,512,100,normal,lora,base,base,54.57,97.0,63.0,44.0,31.0,42.0,29.0,32.0,31.0,32.0,37.0,95.0,95.0,89.0,81.0,77.0,71.0,76.0,75.0,77.0,79.0,98.0,84.0,69.0,61.0,63.0,41.0,31.0,44.0,38.0,31.0,31.0,42.0,29.0,29.0,45.0,42.0,31.0,34.0,35.0,29.0,73.0,58.0,36.0,31.0,33.0,34.0,29.0,33.0,31.0,36.0,23.0,18.0,22.0,30.0,43.0,35.0,33.0,34.0,36.0,33.0,42.0,31.0,34.0,34.0,100.0,98.0,92.0,92.0,83.0,84.0,78.0,76.0,72.0,75.0,83.0,74.0,72.0,72.0,82.0,73.0,71.0,79.0,76.0,96.0,72.0,64.0,68.0,67.0,56.0,50.0,38.0,42.0,43.0,48.0,39.0,39.0,37.0
qwen-3b,512,100,normal,lora,meta,meta,85.3,98.0,62.0,62.0,59.0,59.0,68.0,63.0,59.0,56.0,66.0,99.0,95.0,94.0,87.0,89.0,93.0,84.0,88.0,89.0,87.0,94.0,95.0,96.0,88.0,89.0,83.0,70.0,81.0,79.0,77.0,70.0,76.0,77.0,68.0,74.0,75.0,83.0,81.0,82.0,81.0,76.0,72.0,74.0,64.0,66.0,71.0,62.0,75.0,78.0,79.0,76.0,92.0,94.0,93.0,88.0,96.0,92.0,97.0,88.0,95.0,95.0,96.0,96.0,98.0,96.0,100.0,97.0,100.0,99.0,98.0,97.0,95.0,89.0,99.0,95.0,97.0,97.0,94.0,92.0,95.0,96.0,94.0,89.0,99.0,94.0,88.0,90.0,96.0,90.0,92.0,93.0,94.0,87.0,85.0,87.0,87.0,84.0
qwen-7b,1596,100,normal,lora,meta,meta,89.13,99.0,79.0,80.0,69.0,71.0,81.0,73.0,76.0,75.0,77.0,99.0,99.0,94.0,89.0,92.0,92.0,87.0,87.0,87.0,90.0,96.0,99.0,95.0,93.0,83.0,88.0,81.0,87.0,83.0,80.0,80.0,86.0,85.0,80.0,83.0,85.0,82.0,89.0,89.0,90.0,77.0,80.0,77.0,63.0,68.0,73.0,73.0,80.0,73.0,84.0,85.0,97.0,97.0,97.0,94.0,96.0,96.0,98.0,96.0,97.0,98.0,98.0,95.0,97.0,99.0,100.0,99.0,99.0,98.0,97.0,98.0,97.0,96.0,98.0,95.0,96.0,94.0,94.0,98.0,95.0,94.0,89.0,92.0,99.0,100.0,95.0,96.0,95.0,90.0,96.0,92.0,95.0,88.0,89.0,86.0,93.0,85.0
qwen-7b,1596,100,normal,lora,base,base,69.01,100.0,80.0,73.0,62.0,55.0,58.0,47.0,54.0,45.0,52.0,100.0,99.0,97.0,95.0,94.0,89.0,88.0,91.0,92.0,92.0,100.0,94.0,90.0,79.0,77.0,60.0,56.0,62.0,52.0,48.0,46.0,61.0,48.0,45.0,56.0,53.0,44.0,46.0,48.0,42.0,85.0,69.0,54.0,60.0,53.0,46.0,36.0,57.0,60.0,55.0,30.0,41.0,34.0,48.0,50.0,42.0,42.0,50.0,36.0,42.0,47.0,36.0,38.0,47.0,100.0,100.0,99.0,98.0,97.0,96.0,96.0,98.0,93.0,91.0,88.0,93.0,92.0,92.0,94.0,91.0,95.0,97.0,92.0,100.0,91.0,73.0,76.0,66.0,71.0,59.0,63.0,64.0,66.0,59.0,65.0,56.0,55.0
qwen-1.5b,1596,100,normal,lora,meta,meta,76.95,60.0,41.0,39.0,43.0,49.0,56.0,50.0,45.0,52.0,58.0,93.0,93.0,95.0,83.0,82.0,82.0,82.0,72.0,74.0,72.0,97.0,96.0,85.0,78.0,79.0,70.0,65.0,76.0,68.0,66.0,58.0,69.0,65.0,52.0,62.0,58.0,66.0,70.0,71.0,67.0,68.0,60.0,51.0,47.0,49.0,61.0,44.0,65.0,56.0,58.0,58.0,94.0,94.0,89.0,88.0,91.0,91.0,93.0,88.0,91.0,94.0,92.0,86.0,91.0,100.0,99.0,98.0,99.0,96.0,97.0,97.0,94.0,94.0,94.0,95.0,91.0,94.0,94.0,97.0,95.0,95.0,87.0,80.0,98.0,93.0,89.0,85.0,86.0,75.0,78.0,71.0,91.0,68.0,72.0,74.0,77.0,73.0
qwen-1.5b,1596,100,normal,lora,base,base,55.62,93.0,64.0,52.0,42.0,36.0,37.0,28.0,35.0,34.0,35.0,99.0,97.0,94.0,84.0,78.0,83.0,75.0,75.0,75.0,81.0,100.0,85.0,66.0,66.0,63.0,46.0,38.0,37.0,37.0,34.0,34.0,38.0,28.0,28.0,42.0,41.0,25.0,36.0,39.0,32.0,73.0,52.0,46.0,27.0,29.0,31.0,29.0,40.0,38.0,43.0,26.0,23.0,27.0,24.0,38.0,31.0,34.0,36.0,38.0,37.0,35.0,29.0,35.0,27.0,100.0,99.0,92.0,94.0,79.0,87.0,75.0,77.0,72.0,78.0,76.0,79.0,77.0,77.0,78.0,73.0,73.0,75.0,80.0,98.0,69.0,65.0,65.0,71.0,57.0,50.0,42.0,49.0,45.0,51.0,44.0,45.0,43.0
qwen-3b,512,100,normal,lora,base,base,66.42,97.0,73.0,60.0,51.0,48.0,34.0,42.0,38.0,43.0,45.0,99.0,99.0,96.0,90.0,89.0,91.0,89.0,86.0,90.0,89.0,100.0,94.0,90.0,69.0,71.0,58.0,46.0,55.0,54.0,57.0,44.0,52.0,48.0,46.0,49.0,54.0,42.0,44.0,46.0,43.0,83.0,70.0,57.0,59.0,58.0,44.0,34.0,48.0,53.0,53.0,42.0,33.0,39.0,45.0,49.0,48.0,45.0,49.0,44.0,40.0,50.0,46.0,47.0,56.0,100.0,98.0,97.0,91.0,88.0,86.0,89.0,84.0,88.0,86.0,86.0,93.0,85.0,88.0,92.0,89.0,93.0,92.0,95.0,98.0,80.0,76.0,78.0,75.0,68.0,67.0,57.0,54.0,57.0,53.0,59.0,45.0,53.0
qwen-3b,1596,100,normal,lora,meta,meta,84.42,90.0,53.0,55.0,55.0,54.0,61.0,55.0,58.0,51.0,63.0,100.0,96.0,94.0,93.0,90.0,93.0,89.0,87.0,87.0,84.0,88.0,98.0,92.0,89.0,91.0,82.0,75.0,83.0,72.0,78.0,72.0,80.0,77.0,69.0,75.0,75.0,79.0,80.0,80.0,83.0,67.0,74.0,70.0,60.0,64.0,66.0,61.0,75.0,75.0,78.0,82.0,94.0,95.0,90.0,89.0,91.0,94.0,95.0,93.0,93.0,98.0,94.0,92.0,91.0,99.0,99.0,99.0,100.0,97.0,97.0,97.0,96.0,93.0,95.0,95.0,95.0,93.0,92.0,95.0,96.0,94.0,86.0,89.0,99.0,98.0,96.0,91.0,97.0,93.0,92.0,90.0,93.0,90.0,86.0,85.0,85.0,80.0
qwen-3b,1596,100,normal,lora,base,base,66.73,96.0,71.0,59.0,50.0,45.0,35.0,42.0,38.0,41.0,44.0,99.0,99.0,99.0,90.0,91.0,95.0,89.0,86.0,91.0,85.0,99.0,92.0,87.0,76.0,73.0,61.0,51.0,52.0,50.0,49.0,51.0,55.0,45.0,42.0,44.0,52.0,49.0,48.0,46.0,42.0,82.0,69.0,52.0,53.0,55.0,41.0,36.0,51.0,62.0,53.0,29.0,38.0,37.0,46.0,50.0,44.0,49.0,51.0,52.0,38.0,40.0,44.0,56.0,53.0,100.0,99.0,97.0,95.0,92.0,94.0,95.0,92.0,90.0,88.0,85.0,90.0,93.0,91.0,88.0,91.0,88.0,90.0,99.0,98.0,76.0,70.0,71.0,69.0,74.0,67.0,63.0,64.0,62.0,59.0,57.0,50.0,46.0
o3-mini,-,-,normal,api,meta,meta,88.45,98.0,98.0,98.0,98.0,100.0,98.0,92.0,94.0,97.0,90.0,98.0,96.0,99.0,99.0,99.0,98.0,98.0,100.0,97.0,97.0,22.0,63.0,78.0,78.0,86.0,86.0,75.0,79.0,88.0,81.0,79.0,79.0,82.0,73.0,72.0,79.0,71.0,73.0,71.0,74.0,51.0,64.0,65.0,61.0,51.0,60.0,59.0,63.0,61.0,63.0,74.0,96.0,99.0,97.0,94.0,95.0,93.0,94.0,89.0,92.0,94.0,98.0,94.0,93.0,99.0,100.0,99.0,100.0,98.0,98.0,99.0,98.0,98.0,98.0,97.0,98.0,98.0,97.0,96.0,99.0,99.0,95.0,97.0,100.0,99.0,99.0,100.0,100.0,100.0,97.0,100.0,97.0,97.0,100.0,97.0,99.0,99.0
o3-mini,-,-,normal,api,base,base,67.98,99.0,99.0,95.0,93.0,89.0,87.0,80.0,84.0,75.0,79.0,99.0,100.0,100.0,98.0,97.0,97.0,99.0,98.0,96.0,94.0,9.0,32.0,38.0,51.0,53.0,58.0,43.0,52.0,52.0,51.0,43.0,52.0,43.0,44.0,39.0,30.0,29.0,34.0,32.0,30.0,24.0,36.0,40.0,32.0,34.0,29.0,26.0,36.0,34.0,36.0,42.0,66.0,56.0,57.0,55.0,50.0,41.0,50.0,44.0,34.0,30.0,75.0,66.0,73.0,96.0,98.0,98.0,97.0,93.0,95.0,88.0,99.0,93.0,85.0,83.0,86.0,78.0,82.0,70.0,82.0,74.0,75.0,72.0,98.0,98.0,99.0,94.0,92.0,86.0,89.0,87.0,78.0,87.0,75.0,83.0,75.0,70.0
o3-mini,-,-,ood_constants,api,meta,meta,90.72,100.0,100.0,97.0,99.0,100.0,99.0,98.0,97.0,96.0,96.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,99.0,100.0,100.0,31.0,53.0,71.0,78.0,88.0,89.0,87.0,85.0,80.0,84.0,78.0,87.0,81.0,82.0,85.0,78.0,78.0,76.0,75.0,85.0,56.0,69.0,68.0,71.0,70.0,60.0,59.0,70.0,72.0,65.0,82.0,100.0,97.0,96.0,96.0,97.0,96.0,98.0,91.0,93.0,94.0,96.0,99.0,96.0,100.0,100.0,100.0,100.0,97.0,98.0,99.0,99.0,98.0,100.0,100.0,99.0,100.0,100.0,99.0,97.0,100.0,99.0,99.0,100.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,98.0
gpt-4o,-,-,normal,api,meta,meta,39.76,64.0,33.0,27.0,21.0,22.0,23.0,16.0,28.0,27.0,30.0,73.0,89.0,91.0,86.0,84.0,81.0,78.0,74.0,63.0,66.0,42.0,53.0,46.0,44.0,35.0,18.0,16.0,25.0,20.0,18.0,13.0,17.0,17.0,18.0,13.0,17.0,11.0,14.0,10.0,11.0,68.0,67.0,64.0,47.0,45.0,29.0,30.0,37.0,40.0,41.0,35.0,11.0,25.0,21.0,18.0,17.0,25.0,20.0,25.0,15.0,24.0,26.0,20.0,27.0,89.0,75.0,66.0,54.0,51.0,48.0,44.0,49.0,42.0,52.0,46.0,51.0,40.0,44.0,32.0,37.0,38.0,32.0,39.0,91.0,76.0,63.0,53.0,41.0,36.0,34.0,33.0,39.0,26.0,33.0,34.0,32.0,26.0
gpt-4o,-,-,normal,api,base,base,15.9,37.0,31.0,22.0,12.0,6.0,3.0,1.0,2.0,1.0,1.0,49.0,66.0,67.0,45.0,62.0,41.0,44.0,48.0,37.0,45.0,13.0,42.0,22.0,9.0,10.0,5.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,62.0,65.0,45.0,26.0,24.0,19.0,14.0,17.0,13.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,22.0,59.0,35.0,24.0,15.0,20.0,17.0,5.0,8.0,15.0,8.0,14.0,6.0,6.0,11.0,8.0,5.0,7.0,2.0,39.0,36.0,26.0,26.0,17.0,18.0,4.0,11.0,10.0,7.0,2.0,2.0,5.0,2.0
gpt-4o,-,-,ood_constants,api,meta,meta,43.31,71.0,51.0,27.0,19.0,21.0,20.0,26.0,25.0,18.0,27.0,87.0,99.0,96.0,93.0,83.0,75.0,81.0,78.0,73.0,72.0,63.0,59.0,57.0,53.0,51.0,24.0,23.0,23.0,27.0,22.0,15.0,21.0,15.0,12.0,8.0,14.0,12.0,14.0,15.0,8.0,63.0,74.0,56.0,46.0,43.0,39.0,33.0,38.0,41.0,39.0,32.0,23.0,21.0,18.0,22.0,13.0,15.0,16.0,18.0,9.0,19.0,33.0,34.0,33.0,96.0,83.0,80.0,68.0,57.0,55.0,55.0,50.0,60.0,57.0,47.0,40.0,46.0,43.0,44.0,43.0,41.0,31.0,32.0,89.0,82.0,73.0,56.0,57.0,54.0,49.0,38.0,48.0,38.0,33.0,36.0,37.0,27.0
qwen-7b,1048,1000,ood_constants,lora,meta,meta,86.78,95.0,90.0,84.0,79.0,79.0,84.0,74.0,67.0,65.0,64.0,100.0,92.0,89.0,80.0,86.0,88.0,88.0,80.0,80.0,82.0,98.0,97.0,96.0,92.0,91.0,90.0,81.0,84.0,87.0,78.0,82.0,81.0,80.0,69.0,75.0,82.0,79.0,77.0,79.0,77.0,93.0,84.0,78.0,75.0,74.0,71.0,68.0,68.0,78.0,76.0,73.0,99.0,95.0,96.0,95.0,95.0,98.0,99.0,93.0,98.0,94.0,92.0,92.0,88.0,96.0,100.0,99.0,97.0,97.0,99.0,96.0,93.0,93.0,91.0,91.0,89.0,91.0,97.0,90.0,91.0,87.0,82.0,74.0,93.0,99.0,97.0,96.0,97.0,91.0,90.0,92.0,94.0,85.0,83.0,83.0,86.0,86.0
qwen-1.5b,1048,1000,ood_words,lora,meta,meta,93.11,99.0,85.0,84.0,82.0,79.0,84.0,85.0,74.0,80.0,84.0,99.0,99.0,99.0,98.0,92.0,95.0,91.0,96.0,89.0,86.0,96.0,100.0,98.0,94.0,91.0,90.0,89.0,95.0,88.0,88.0,87.0,90.0,86.0,83.0,86.0,93.0,90.0,91.0,89.0,86.0,96.0,88.0,85.0,89.0,86.0,86.0,90.0,83.0,91.0,89.0,88.0,98.0,95.0,94.0,94.0,94.0,95.0,96.0,94.0,96.0,99.0,94.0,99.0,100.0,98.0,96.0,100.0,99.0,100.0,99.0,100.0,100.0,98.0,98.0,99.0,98.0,100.0,97.0,99.0,99.0,99.0,95.0,98.0,98.0,99.0,99.0,100.0,100.0,97.0,99.0,94.0,98.0,92.0,94.0,95.0,94.0,92.0
qwen-1.5b,1048,1000,ood_constants,lora,meta,meta,73.02,97.0,78.0,70.0,61.0,58.0,64.0,58.0,62.0,51.0,56.0,96.0,87.0,84.0,75.0,74.0,75.0,70.0,63.0,61.0,57.0,97.0,96.0,90.0,84.0,78.0,68.0,56.0,65.0,67.0,65.0,49.0,54.0,56.0,45.0,50.0,55.0,56.0,62.0,54.0,47.0,78.0,67.0,49.0,45.0,53.0,46.0,42.0,51.0,54.0,43.0,46.0,87.0,81.0,86.0,82.0,85.0,85.0,86.0,93.0,90.0,83.0,88.0,75.0,81.0,85.0,96.0,98.0,98.0,96.0,92.0,93.0,91.0,87.0,89.0,85.0,85.0,85.0,85.0,88.0,81.0,77.0,75.0,70.0,99.0,94.0,90.0,85.0,83.0,78.0,68.0,72.0,80.0,63.0,70.0,58.0,67.0,53.0
qwen-1.5b,1048,1000,ood_words,lora,base,base,84.95,99.0,94.0,89.0,90.0,81.0,66.0,79.0,69.0,68.0,79.0,99.0,98.0,99.0,95.0,98.0,95.0,93.0,93.0,96.0,97.0,100.0,99.0,95.0,89.0,90.0,84.0,72.0,81.0,74.0,78.0,76.0,79.0,76.0,78.0,82.0,78.0,79.0,80.0,76.0,75.0,97.0,92.0,92.0,90.0,86.0,80.0,79.0,89.0,86.0,76.0,64.0,66.0,65.0,68.0,79.0,72.0,78.0,75.0,72.0,64.0,67.0,65.0,68.0,72.0,100.0,100.0,100.0,96.0,95.0,99.0,96.0,97.0,97.0,95.0,95.0,93.0,94.0,89.0,95.0,97.0,93.0,94.0,98.0,99.0,99.0,96.0,96.0,93.0,89.0,84.0,78.0,82.0,83.0,68.0,67.0,64.0,59.0
qwen-1.5b,1048,1000,ood_constants,lora,base,base,37.69,100.0,74.0,62.0,39.0,37.0,34.0,30.0,25.0,26.0,24.0,96.0,89.0,71.0,63.0,62.0,56.0,53.0,41.0,44.0,44.0,100.0,86.0,73.0,58.0,51.0,40.0,40.0,29.0,21.0,23.0,21.0,23.0,14.0,17.0,12.0,14.0,14.0,19.0,12.0,8.0,84.0,78.0,45.0,41.0,38.0,25.0,24.0,26.0,24.0,14.0,9.0,10.0,13.0,13.0,14.0,10.0,7.0,8.0,4.0,6.0,9.0,5.0,5.0,6.0,99.0,92.0,81.0,74.0,71.0,77.0,58.0,47.0,52.0,44.0,44.0,36.0,48.0,34.0,38.0,44.0,35.0,34.0,28.0,92.0,69.0,47.0,28.0,23.0,21.0,16.0,14.0,10.0,14.0,8.0,4.0,4.0,7.0
qwen-1.5b,512,1000,ood_words,lora,meta,meta,93.27,99.0,88.0,83.0,77.0,77.0,84.0,85.0,80.0,78.0,84.0,99.0,99.0,99.0,93.0,96.0,93.0,95.0,95.0,97.0,97.0,99.0,99.0,97.0,94.0,95.0,88.0,89.0,91.0,85.0,90.0,88.0,90.0,86.0,85.0,85.0,87.0,91.0,89.0,90.0,88.0,91.0,91.0,87.0,82.0,82.0,80.0,88.0,88.0,90.0,92.0,89.0,100.0,98.0,96.0,99.0,98.0,97.0,100.0,97.0,98.0,99.0,98.0,99.0,100.0,100.0,99.0,99.0,100.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,99.0,100.0,98.0,98.0,97.0,99.0,95.0,96.0,100.0,100.0,98.0,97.0,99.0,95.0,96.0,98.0,98.0,94.0,92.0,92.0,89.0,87.0
qwen-1.5b,512,1000,ood_constants,lora,meta,meta,74.69,95.0,81.0,71.0,64.0,66.0,68.0,59.0,59.0,55.0,63.0,94.0,91.0,87.0,72.0,77.0,81.0,69.0,70.0,66.0,60.0,99.0,99.0,92.0,88.0,78.0,73.0,67.0,74.0,69.0,65.0,54.0,58.0,54.0,54.0,53.0,52.0,63.0,61.0,56.0,51.0,84.0,65.0,54.0,50.0,52.0,47.0,44.0,45.0,57.0,46.0,39.0,91.0,86.0,88.0,86.0,89.0,86.0,89.0,93.0,87.0,90.0,86.0,78.0,76.0,100.0,98.0,100.0,98.0,97.0,96.0,87.0,95.0,90.0,88.0,87.0,81.0,81.0,77.0,76.0,80.0,80.0,69.0,66.0,97.0,98.0,88.0,85.0,85.0,84.0,73.0,73.0,82.0,63.0,74.0,64.0,65.0,52.0
qwen-1.5b,512,1000,ood_words,lora,base,base,81.24,100.0,91.0,84.0,76.0,73.0,67.0,60.0,62.0,60.0,71.0,99.0,98.0,99.0,96.0,99.0,91.0,92.0,93.0,93.0,92.0,100.0,97.0,93.0,92.0,84.0,78.0,73.0,81.0,69.0,70.0,66.0,73.0,64.0,64.0,74.0,69.0,70.0,65.0,72.0,70.0,96.0,84.0,87.0,83.0,73.0,66.0,65.0,72.0,73.0,67.0,50.0,70.0,65.0,58.0,79.0,79.0,65.0,71.0,70.0,61.0,66.0,67.0,61.0,68.0,100.0,100.0,97.0,96.0,96.0,99.0,92.0,88.0,90.0,95.0,90.0,91.0,88.0,86.0,87.0,85.0,87.0,86.0,92.0,99.0,99.0,98.0,98.0,92.0,91.0,84.0,88.0,86.0,83.0,84.0,76.0,73.0,68.0
qwen-1.5b,512,1000,ood_constants,lora,base,base,39.69,99.0,71.0,67.0,34.0,35.0,25.0,25.0,30.0,24.0,25.0,98.0,89.0,74.0,67.0,66.0,62.0,60.0,42.0,52.0,55.0,99.0,91.0,73.0,57.0,50.0,45.0,30.0,33.0,29.0,28.0,26.0,14.0,19.0,23.0,13.0,19.0,19.0,10.0,10.0,11.0,87.0,64.0,45.0,35.0,31.0,26.0,20.0,30.0,19.0,16.0,14.0,12.0,16.0,14.0,15.0,10.0,8.0,17.0,10.0,16.0,11.0,11.0,10.0,11.0,79.0,93.0,86.0,74.0,64.0,72.0,65.0,54.0,59.0,54.0,49.0,44.0,53.0,38.0,54.0,43.0,30.0,37.0,33.0,99.0,70.0,44.0,41.0,34.0,33.0,18.0,15.0,12.0,16.0,15.0,8.0,9.0,8.0
